[2016-09-15 16:12:50,366] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=state.change.logger (state.change.logger)
[2016-09-15 16:16:16,172] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,24] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,173] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,41] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,173] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,0] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,173] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,38] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,173] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,13] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,174] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,8] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,174] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,5] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,175] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,39] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,175] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,36] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,175] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,40] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,175] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,45] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,179] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,15] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,180] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,33] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,182] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,37] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,182] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,21] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,183] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,6] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,183] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,11] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,183] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,20] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,183] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,47] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,183] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,2] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,184] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,27] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,184] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,34] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,206] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,9] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,207] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,22] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,207] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,42] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,207] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,14] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,207] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,25] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,207] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,10] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,208] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,48] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,208] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,31] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,208] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,18] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,208] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,19] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,208] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,12] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,209] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,46] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,209] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,43] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,212] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,1] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,212] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,26] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,212] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,30] state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[2016-09-15 16:16:16,220] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,28] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,225] TRACE Broker 1 stopped fetchers as part of become-leader request from controller 1 epoch 1 with correlation id 1 for partition [PRUEBA,0] (state.change.logger)
[2016-09-15 16:16:16,230] TRACE Broker 1 completed LeaderAndIsr request correlationId 1 from controller 1 epoch 1 for the become-leader transition for partition [PRUEBA,0] (state.change.logger)
[2016-09-15 16:16:16,236] TRACE Controller 1 epoch 1 received response {error_code=0,partitions=[{topic=PRUEBA,partition=0,error_code=0}]} for a request sent to broker andresgomezfrr.redborder.lan:9093 (id: 1 rack: null) (state.change.logger)
[2016-09-15 16:16:16,242] TRACE Broker 1 cached leader info (LeaderAndIsrInfo:(Leader:1,ISR:1,LeaderEpoch:0,ControllerEpoch:1),ReplicationFactor:1),AllReplicas:1) for partition PRUEBA-0 in response to UpdateMetadata request sent by controller 1 epoch 1 with correlation id 2 (state.change.logger)
[2016-09-15 16:16:16,244] TRACE Controller 1 epoch 1 received response {error_code=0} for a request sent to broker andresgomezfrr.redborder.lan:9093 (id: 1 rack: null) (state.change.logger)
[2016-09-15 16:16:16,244] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,48] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,247] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,5] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,248] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,21] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,250] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,2] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,253] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,18] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,255] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,23] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,258] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,9] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,260] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,39] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,263] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,31] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,264] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,19] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,266] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,10] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,269] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,22] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,270] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,43] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,271] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,40] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,272] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,27] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,273] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,6] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,274] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,1] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,275] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,47] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,277] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,30] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,279] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,42] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,280] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,41] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,282] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,3] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,283] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,13] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,285] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,4] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,286] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,16] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,287] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,46] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,290] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,49] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,294] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,14] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,296] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,45] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,297] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,37] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,299] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,29] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,300] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,20] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,301] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,8] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,302] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,38] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,303] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,7] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,304] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,0] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,306] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,34] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,307] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,33] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,308] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,26] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,309] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,44] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,311] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,32] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,312] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,25] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,313] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,11] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,314] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,36] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,315] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,12] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,316] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,35] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,317] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,15] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,319] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,17] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,320] TRACE Controller 1 epoch 1 changed state of replica 1 for partition [__consumer_offsets,24] from NonExistentReplica to NewReplica (state.change.logger)
[2016-09-15 16:16:16,331] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,32] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,336] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,16] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,344] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,49] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,350] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,44] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,357] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,28] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,364] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,17] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,369] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,23] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,374] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,7] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,380] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,4] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,389] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,29] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,398] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,35] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,405] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,3] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,409] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,24] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,416] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,41] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,420] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,0] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,426] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,38] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,432] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,13] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,435] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,8] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,441] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,5] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,446] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,39] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,455] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,36] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,463] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,40] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,475] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,45] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,485] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,15] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,490] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,33] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,499] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,37] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,504] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,21] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,510] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,6] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,516] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,11] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,524] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,20] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,528] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,47] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,534] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,2] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,540] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,27] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,547] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,34] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,555] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,9] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,564] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,22] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,570] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,42] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,579] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,14] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,588] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,25] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,594] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,10] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,599] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,48] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,605] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,31] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,611] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,18] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,615] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,19] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,618] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,12] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,622] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,46] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,626] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,43] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,632] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,1] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,636] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,26] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,640] TRACE Controller 1 epoch 1 changed partition [__consumer_offsets,30] from NewPartition to OnlinePartition with leader 1 (state.change.logger)
[2016-09-15 16:16:16,640] TRACE Controller 1 epoch 1 sending become-leader LeaderAndIsr request (Leader:1,ISR:1,LeaderEpoch:0,ControllerEpoch:1) to broker 1 for partition [__consumer_offsets,49] (state.change.logger)
[2016-09-15 16:16:16,640] TRACE Controller 1 epoch 1 sending become-leader LeaderAndIsr request (Leader:1,ISR:1,LeaderEpoch:0,ControllerEpoch:1) to broker 1 for partition [__consumer_offsets,38] (state.change.logger)
[2016-09-15 16:16:16,640] TRACE Controller 1 epoch 1 sending become-leader LeaderAndIsr request (Leader:1,ISR:1,LeaderEpoch:0,ControllerEpoch:1) to broker 1 for partition [__consumer_offsets,16] (state.change.logger)
[2016-09-15 16:16:16,641] TRACE Controller 1 epoch 1 sending become-leader LeaderAndIsr request (Leader:1,ISR:1,LeaderEpoch:0,ControllerEpoch:1) to broker 1 for partition [__consumer_offsets,27] (state.change.logger)
